filename,expected_medicine,predicted_medicine,expected_dosage,predicted_dosage,confidence,error,manual_input_required,status,time_taken_sec
amlodipine.jpeg,amlodipine,amlodipine,10 mg,10 mg,0.6256071026465875,,False,correct,1.39
aspirin.jpeg,aspirin,aspirin,,500 mg,0.7455276051341968,,False,correct,0.95
cisplatin.jpeg,cisplatin,cisplatin,100 mg,100 mg,0.7297325290057506,,False,correct,0.53
clotrimazole.jpeg,clotrimazole,clotrimazole,50 g,50 g,0.6234883097842076,,False,correct,1.1
enalapril.jpeg,enalapril,enalapril,5 mg,,0.5068413124176234,,True,wrong_or_missing_dosage,0.18
ibuprofen.jpeg,ibuprofen,ibuprofen,400 mg,400 mg,0.6416499380703999,,False,correct,0.82
loperamide.jpeg,loperamide,loperamide,2 mg,2 mg,0.8753140974608614,,False,correct,0.29
loratadine.jpeg,loratadine,loratadine,10 mg,,0.49166000285813416,,True,wrong_or_missing_dosage,1.0
metformin.jpeg,metformin,hydrochloride,,,0.5953350958023068,,True,wrong_medicine,0.6
metoprolol.jpeg,metoprolol,metoprolol,,,0.9621194990380363,,True,manual_input_needed,0.67
pantoprazole.jpeg,pantoprazole,pantoprazole,40 mg,,0.7811074362817138,,True,wrong_or_missing_dosage,0.34
paracetamol.jpeg,paracetamol,paracetamol,650 mg,650 mg,0.4226486616986094,,False,correct,2.79
pirfenidone.jpeg,perfenidone,pirfenidone,267 mg,267 mg,0.948528378032423,,False,wrong_medicine,0.48
rifampicin.jpeg,rifampicin,rifampicin,150 mg,,0.8668334445440988,,True,wrong_or_missing_dosage,0.79
rosuvastatin.jpeg,rosuvastatin,rosivastatin,5 mg,5 mg,0.7214452952460965,,False,wrong_medicine,0.21
tacrolimus.jpeg,tacrolimus,tacrolimus,20 g,20 g,0.7737979067019164,,False,correct,0.97
vancomycin.jpeg,vancomycin,vancomycin,1 g,,0.5096551893097315,,True,wrong_or_missing_dosage,0.52
